FW_plate,column,row,fw
FW-1,1,A,1
FW-1,1,B,13
FW-1,1,C,25
FW-1,1,D,37
FW-1,1,E,49
FW-1,1,F,61
FW-1,1,G,73
FW-1,1,H,85
FW-1,2,A,2
FW-1,2,B,14
FW-1,2,C,26
FW-1,2,D,38
FW-1,2,E,50
FW-1,2,F,62
FW-1,2,G,74
FW-1,2,H,86
FW-1,3,A,3
FW-1,3,B,15
FW-1,3,C,27
FW-1,3,D,39
FW-1,3,E,51
FW-1,3,F,63
FW-1,3,G,75
FW-1,3,H,87
FW-1,4,A,4
FW-1,4,B,16
FW-1,4,C,28
FW-1,4,D,40
FW-1,4,E,52
FW-1,4,F,64
FW-1,4,G,76
FW-1,4,H,88
FW-1,5,A,5
FW-1,5,B,17
FW-1,5,C,29
FW-1,5,D,41
FW-1,5,E,53
FW-1,5,F,65
FW-1,5,G,77
FW-1,5,H,89
FW-1,6,A,6
FW-1,6,B,18
FW-1,6,C,30
FW-1,6,D,42
FW-1,6,E,54
FW-1,6,F,66
FW-1,6,G,78
FW-1,6,H,90
FW-1,7,A,7
FW-1,7,B,19
FW-1,7,C,31
FW-1,7,D,43
FW-1,7,E,55
FW-1,7,F,67
FW-1,7,G,79
FW-1,7,H,91
FW-1,8,A,8
FW-1,8,B,20
FW-1,8,C,32
FW-1,8,D,44
FW-1,8,E,56
FW-1,8,F,68
FW-1,8,G,80
FW-1,8,H,92
FW-1,9,A,9
FW-1,9,B,21
FW-1,9,C,33
FW-1,9,D,45
FW-1,9,E,57
FW-1,9,F,69
FW-1,9,G,81
FW-1,9,H,93
FW-1,10,A,10
FW-1,10,B,22
FW-1,10,C,34
FW-1,10,D,46
FW-1,10,E,58
FW-1,10,F,70
FW-1,10,G,82
FW-1,10,H,94
FW-1,11,A,11
FW-1,11,B,23
FW-1,11,C,35
FW-1,11,D,47
FW-1,11,E,59
FW-1,11,F,71
FW-1,11,G,83
FW-1,11,H,95
FW-1,12,A,12
FW-1,12,B,24
FW-1,12,C,36
FW-1,12,D,48
FW-1,12,E,60
FW-1,12,F,72
FW-1,12,G,84
FW-1,12,H,96
FW-2,12,A,1
FW-2,12,B,13
FW-2,12,C,25
FW-2,12,D,37
FW-2,12,E,49
FW-2,12,F,61
FW-2,12,G,73
FW-2,12,H,85
FW-2,1,A,2
FW-2,1,B,14
FW-2,1,C,26
FW-2,1,D,38
FW-2,1,E,50
FW-2,1,F,62
FW-2,1,G,74
FW-2,1,H,86
FW-2,2,A,3
FW-2,2,B,15
FW-2,2,C,27
FW-2,2,D,39
FW-2,2,E,51
FW-2,2,F,63
FW-2,2,G,75
FW-2,2,H,87
FW-2,3,A,4
FW-2,3,B,16
FW-2,3,C,28
FW-2,3,D,40
FW-2,3,E,52
FW-2,3,F,64
FW-2,3,G,76
FW-2,3,H,88
FW-2,4,A,5
FW-2,4,B,17
FW-2,4,C,29
FW-2,4,D,41
FW-2,4,E,53
FW-2,4,F,65
FW-2,4,G,77
FW-2,4,H,89
FW-2,5,A,6
FW-2,5,B,18
FW-2,5,C,30
FW-2,5,D,42
FW-2,5,E,54
FW-2,5,F,66
FW-2,5,G,78
FW-2,5,H,90
FW-2,6,A,7
FW-2,6,B,19
FW-2,6,C,31
FW-2,6,D,43
FW-2,6,E,55
FW-2,6,F,67
FW-2,6,G,79
FW-2,6,H,91
FW-2,7,A,8
FW-2,7,B,20
FW-2,7,C,32
FW-2,7,D,44
FW-2,7,E,56
FW-2,7,F,68
FW-2,7,G,80
FW-2,7,H,92
FW-2,8,A,9
FW-2,8,B,21
FW-2,8,C,33
FW-2,8,D,45
FW-2,8,E,57
FW-2,8,F,69
FW-2,8,G,81
FW-2,8,H,93
FW-2,9,A,10
FW-2,9,B,22
FW-2,9,C,34
FW-2,9,D,46
FW-2,9,E,58
FW-2,9,F,70
FW-2,9,G,82
FW-2,9,H,94
FW-2,10,A,11
FW-2,10,B,23
FW-2,10,C,35
FW-2,10,D,47
FW-2,10,E,59
FW-2,10,F,71
FW-2,10,G,83
FW-2,10,H,95
FW-2,11,A,12
FW-2,11,B,24
FW-2,11,C,36
FW-2,11,D,48
FW-2,11,E,60
FW-2,11,F,72
FW-2,11,G,84
FW-2,11,H,96
FW-3,11,A,1
FW-3,11,B,13
FW-3,11,C,25
FW-3,11,D,37
FW-3,11,E,49
FW-3,11,F,61
FW-3,11,G,73
