Gene	Gene ID	Capture Type
PM1	PF3D7_1407900	exons
PM2	PF3D7_1408000	exons
PM3	PF3D7_1408100	exons
pfmrp2	PF3D7_1229100	exons
pfabcI3	PF3D7_0319700	exons
pfaat1	PF3D7_0629500	exons
pfcarl	PF3D7_0321900	exons
pfpare	PF3D7_0709700	exons
PF3D7-0218600	PF3D7_0218600	exons
pfaat2	PF3D7_1208400	exons
PF3D7-0613800	PF3D7_0613800	exons
pfftb	PF3D7_1147500	exons
pfdpap1	PF3D7_1116700	exons
Pfatp4	PF3D7_1211900	exons
DHODH	PF3D7_0603300	exons
dhfr-ts	PF3D7_0417200	exons
dhps	PF3D7_0810800	exons
crt	PF3D7_0709000	exons
mdr1	PF3D7_0523000	exons
cytb	mal_mito_3	exons
k13	PF3D7_1343700	exons
