[Header],,,,,,,,,
IEMFileVersion,4,,,,,,,,
Investigator Name,Bailey,,,,,,,,
Experiment Name,5-Jan-16,,,,,,,,
Date,1/5/16,,,,,,,,
Workflow,GenerateFASTQ,,,,,,,,
Application,FASTQ Only,,,,,,,,
Assay,Nextera,,,,,,,,
Description,,,,,,,,,
Chemistry,Amplicon,,,,,,,,
,,,,,,,,,
[Reads],,,,,,,,,
250,,,,,,,,,
250,,,,,,,,,
,,,,,,,,,
[Settings],,,,,,,,,
CustomRead1PrimerMix,C1,,,,,,,,
CustomIndexPrimerMix,C2,,,,,,,,
CustomRead2PrimerMix,C3,,,,,,,,
ReverseComplement,0,,,,,,,,
,,,,,,,,,
[Data],,,,,,,,,
Sample_ID,Sample_Name,Sample_Plate,Sample_Well,I7_Index_ID,index,I5_Index_ID,index2,Sample_Project,Description
