Approved Symbol	Phenotypes
CCV	Cataract 8, multiple types, Autosomal dominant
MYP14	Myopia 14
SCASI	Spinocerebellar ataxia, autosomal recessive 4, Autosomal recessive
ISG15	Immunodeficiency 38, Autosomal recessive
AGRN	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, Autosomal recessive
B3GALT6	Ehlers-Danlos syndrome, progeroid type, 2, Autosomal recessive;Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, Autosomal recessive
DVL1	Robinow syndrome, autosomal dominant 2, Autosomal dominant
ATAD3A	Harel-Yoon syndrome, Autosomal recessive, Autosomal dominant
TMEM240	Spinocerebellar ataxia 21, Autosomal dominant
GNB1	Leukemia, acute lymphoblastic, somatic;Mental retardation, autosomal dominant 42, Autosomal dominant
SKI	Shprintzen-Goldberg syndrome, Autosomal dominant
DYT13	Dystonia 13, torsion, Autosomal dominant
PEX10	Peroxisome biogenesis disorder 6A (Zellweger), Autosomal recessive;Peroxisome biogenesis disorder 6B, Autosomal recessive
PRDM16	Cardiomyopathy, dilated, 1LL, Autosomal dominant;Left ventricular noncompaction 8, Autosomal dominant
CEP104	Joubert syndrome 25, Autosomal recessive
DFNB96	Deafness, autosomal recessive 96, Autosomal recessive
NPHP4	Nephronophthisis 4, Autosomal recessive;Senior-Loken syndrome 4, Autosomal recessive
ESPN	Deafness, autosomal recessive 36, Autosomal recessive;Deafness, neurosensory, without vestibular involvement, autosomal dominant (3)
PLEKHG5	Charcot-Marie-Tooth disease, recessive intermediate C, Autosomal recessive;Spinal muscular atrophy, distal, autosomal recessive, 4, Autosomal recessive
CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation, Autosomal dominant
GLC3B	Glaucoma 3, primary infantile, B, Autosomal recessive
PARK7	Parkinson disease 7, autosomal recessive early-onset, Autosomal recessive
RERE	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, Autosomal dominant
ENO1	Enolase deficiency (1)
H6PD	Cortisone reductase deficiency 1, Autosomal recessive
